2014/01/07 22:38:20 IFA_CNHIK83_NHJIK831_18667 FE2 fe2 18678 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2014/01/07 22:39:32 IFA_DNHIK83_NHJIK831_23371 FE3 fe3 23394 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2014/01/07 22:39:54 IFA_DNHIK83_NHJIK831_23371 FE3 fe3 23394 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2014/01/07 22:40:10 IFA_BNHIK83_NHJIK831_25913 FE1 fe1 25928 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2014/01/07 22:40:34 IFA_ENHIK83_NHJIK831_26847 FE4 fe4 26859 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2014/01/07 22:40:49 IFA_BNHIK83_NHJIK831_25913 FE1 fe1 25928 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2014/01/07 22:46:53 IFA_ENHIK83_NHJIK831_26847 FE4 fe4 26859 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2013/11/27 22:18:50 IFA_BNHIK83_NHJIK831_3579 FE1 fe1 3600 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2013/11/27 22:18:50 IFA_ENHIK83_NHJIK831_3602 FE4 fe4 3622 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2013/11/27 22:18:50 IFA_DNHIK83_NHJIK831_3659 FE3 fe3 3711 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2013/11/27 22:18:51 IFA_CNHIK83_NHJIK831_3843 FE2 fe2 3854 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
2013/11/27 22:18:57 IFA_BNHIK83_NHJIK831_3579 FE1 fe1 3600 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2013/11/27 22:18:58 IFA_ENHIK83_NHJIK831_3602 FE4 fe4 3622 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2013/11/27 22:19:00 IFA_CNHIK83_NHJIK831_3843 FE2 fe2 3854 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2013/11/27 22:19:14 IFA_DNHIK83_NHJIK831_3659 FE3 fe3 3711 Lancer_K05_pretaxation.sh NHTX122XXXXNN_ENT01_ FIN
2013/11/28 23:17:15 IFA_CNHIK83_NHJIK831_29812 FE2 fe2 29832 Lancer_K05_pretaxation.sh NHTX121XXXXNN_ENT01_ DEBUT
