2012/10/17;FE3;899;k01_repartitionChargesAR;0
2012/10/18;FE3;26969;k01_repartitionChargesAR;0
2012/10/18;FE1;4996;k01_repartitionChargesAR;0
2012/10/18;FE2;12618;k01_repartitionChargesAR;0
2012/10/18;FE4;19775;k01_repartitionChargesAR;1
2012/10/19;FE3;11953;k01_repartitionChargesAR;0
2012/10/19;FE2;11960;k01_repartitionChargesAR;2
2012/10/19;FE4;12907;k01_repartitionChargesAR;1
2012/10/19;FE1;13191;k01_repartitionChargesAR;0
2012/10/20;FE2;21513;k01_repartitionChargesAR;0
2012/10/20;FE4;23946;k01_repartitionChargesAR;1
2012/10/20;FE1;24301;k01_repartitionChargesAR;0
2012/10/20;FE3;24936;k01_repartitionChargesAR;0
2012/10/23;FE3;13038;k01_repartitionChargesAR;0
2012/10/23;FE1;16766;k01_repartitionChargesAR;0
2012/10/23;FE4;16775;k01_repartitionChargesAR;1
2012/10/23;FE2;16794;k01_repartitionChargesAR;0
2012/10/24;FE3;24119;k01_repartitionChargesAR;0
2012/10/24;FE2;23748;k01_repartitionChargesAR;0
2012/10/24;FE4;5202;k01_repartitionChargesAR;1
2012/10/24;FE1;3911;k01_repartitionChargesAR;0
2012/10/25;FE1;16270;k01_repartitionChargesAR;0
2012/10/25;FE3;19772;k01_repartitionChargesAR;0
2012/10/25;FE2;20648;k01_repartitionChargesAR;0
2012/10/25;FE4;21020;k01_repartitionChargesAR;1
2012/10/27;FE2;4622;k01_repartitionChargesAR;0
2012/10/27;FE3;5249;k01_repartitionChargesAR;0
2012/10/27;FE4;10855;k01_repartitionChargesAR;1
2012/10/27;FE1;13717;k01_repartitionChargesAR;0
2012/10/30;FE3;9695;k01_repartitionChargesAR;0
2012/10/30;FE1;28852;k01_repartitionChargesAR;0
2012/10/30;FE2;9283;k01_repartitionChargesAR;0
2012/10/30;FE4;10123;k01_repartitionChargesAR;1
2012/10/31;FE4;5919;k01_repartitionChargesAR;1
2012/10/31;FE1;8560;k01_repartitionChargesAR;0
2012/10/31;FE3;8799;k01_repartitionChargesAR;0
2012/10/31;FE2;8963;k01_repartitionChargesAR;0
2012/11/01;FE1;5830;k01_repartitionChargesAR;0
2012/11/01;FE3;5846;k01_repartitionChargesAR;0
2012/11/01;FE2;8102;k01_repartitionChargesAR;0
2012/11/01;FE4;8798;k01_repartitionChargesAR;1
2012/11/03;FE1;24233;k01_repartitionChargesAR;0
2012/11/03;FE3;24443;k01_repartitionChargesAR;0
2012/11/03;FE4;27449;k01_repartitionChargesAR;1
2012/11/03;FE2;5987;k01_repartitionChargesAR;0
2012/11/06;FE1;25064;k01_repartitionChargesAR;1
2012/11/06;FE4;11652;k01_repartitionChargesAR;5
2012/11/06;FE3;13835;k01_repartitionChargesAR;1
2012/11/06;FE2;1336;k01_repartitionChargesAR;5
2012/11/07;FE2;22451;k01_repartitionChargesAR;1387
2012/11/07;FE3;9716;k01_repartitionChargesAR;809
2012/11/07;FE4;7031;k01_repartitionChargesAR;1492
2012/11/07;FE1;8387;k01_repartitionChargesAR;962
2012/11/08;FE3;23027;k01_repartitionChargesAR;392
2012/11/08;FE1;24524;k01_repartitionChargesAR;363
2012/11/08;FE2;12235;k01_repartitionChargesAR;382
2012/11/08;FE4;17546;k01_repartitionChargesAR;512
2012/11/09;FE2;8549;k01_repartitionChargesAR;239
2012/11/09;FE3;2381;k01_repartitionChargesAR;162
2012/11/09;FE4;8982;k01_repartitionChargesAR;426
2012/11/09;FE1;22806;k01_repartitionChargesAR;245
2012/11/10;FE2;23641;k01_repartitionChargesAR;1925
2012/11/10;FE4;4861;k01_repartitionChargesAR;2728
2012/11/10;FE3;14026;k01_repartitionChargesAR;3195
2012/11/11;FE1;11250;k01_repartitionChargesAR;4910
2012/11/13;FE2;12019;k01_repartitionChargesAR;21
2012/11/13;FE4;25745;k01_repartitionChargesAR;14
2012/11/13;FE3;21976;k01_repartitionChargesAR;66
2012/11/13;FE1;17253;k01_repartitionChargesAR;286
2012/11/14;FE4;22181;k01_repartitionChargesAR;1
2012/11/14;FE3;24866;k01_repartitionChargesAR;0
2012/11/14;FE1;27453;k01_repartitionChargesAR;0
2012/11/14;FE2;1798;k01_repartitionChargesAR;0
2012/11/15;FE4;13090;k01_repartitionChargesAR;1
2012/11/15;FE3;12714;k01_repartitionChargesAR;17
2012/11/15;FE2;16258;k01_repartitionChargesAR;2
2012/11/15;FE1;26389;k01_repartitionChargesAR;9
2012/11/16;FE4;28485;k01_repartitionChargesAR;1
2012/11/16;FE1;1339;k01_repartitionChargesAR;0
2012/11/16;FE2;1495;k01_repartitionChargesAR;0
2012/11/16;FE3;2332;k01_repartitionChargesAR;0
2012/11/17;FE4;26201;k01_repartitionChargesAR;1
2012/11/17;FE2;29412;k01_repartitionChargesAR;0
2012/11/17;FE3;28555;k01_repartitionChargesAR;0
2012/11/17;FE1;3483;k01_repartitionChargesAR;1
2012/11/20;FE1;2296;k01_repartitionChargesAR;0
2012/11/20;FE4;2273;k01_repartitionChargesAR;1
2012/11/20;FE3;5234;k01_repartitionChargesAR;0
2012/11/20;FE2;11954;k01_repartitionChargesAR;0
2012/11/21;FE2;9437;k01_repartitionChargesAR;0
2012/11/21;FE1;9396;k01_repartitionChargesAR;0
2012/11/21;FE4;9450;k01_repartitionChargesAR;1
2012/11/21;FE3;9465;k01_repartitionChargesAR;0
2012/11/22;FE1;14226;k01_repartitionChargesAR;0
2012/11/22;FE2;17938;k01_repartitionChargesAR;0
2012/11/22;FE4;17967;k01_repartitionChargesAR;1
2012/11/22;FE3;17984;k01_repartitionChargesAR;0
2012/11/23;FE4;17880;k01_repartitionChargesAR;1
2012/11/23;FE1;17853;k01_repartitionChargesAR;0
2012/11/23;FE2;18667;k01_repartitionChargesAR;0
2012/11/23;FE3;19073;k01_repartitionChargesAR;0
2012/11/24;FE3;23974;k01_repartitionChargesAR;0
2012/11/24;FE2;25912;k01_repartitionChargesAR;0
2012/11/24;FE4;26117;k01_repartitionChargesAR;1
2012/11/24;FE1;15215;k01_repartitionChargesAR;0
2012/11/28;FE2;15317;k01_repartitionChargesAR;0
2012/11/28;FE3;16680;k01_repartitionChargesAR;0
2012/11/28;FE1;16703;k01_repartitionChargesAR;0
2012/11/28;FE4;17619;k01_repartitionChargesAR;1
2012/11/29;FE2;3284;k01_repartitionChargesAR;0
2012/11/29;FE3;3327;k01_repartitionChargesAR;0
2012/11/29;FE4;3331;k01_repartitionChargesAR;1
2012/11/29;FE1;3523;k01_repartitionChargesAR;0
2012/11/30;FE1;27484;k01_repartitionChargesAR;0
2012/11/30;FE4;27772;k01_repartitionChargesAR;1
2012/11/30;FE3;28281;k01_repartitionChargesAR;0
2012/11/30;FE2;296;k01_repartitionChargesAR;0
2012/12/01;FE3;21158;k01_repartitionChargesAR;0
2012/12/01;FE2;21713;k01_repartitionChargesAR;0
2012/12/01;FE1;23337;k01_repartitionChargesAR;0
2012/12/01;FE4;25257;k01_repartitionChargesAR;1
2012/12/04;FE4;8088;k01_repartitionChargesAR;1
2012/12/04;FE1;8971;k01_repartitionChargesAR;0
2012/12/04;FE2;9002;k01_repartitionChargesAR;0
2012/12/04;FE3;11314;k01_repartitionChargesAR;0
2012/12/05;FE1;26744;k01_repartitionChargesAR;1
2012/12/05;FE3;167;k01_repartitionChargesAR;1
2012/12/05;FE4;14461;k01_repartitionChargesAR;5
2012/12/05;FE2;1557;k01_repartitionChargesAR;5
2012/12/06;FE3;22325;k01_repartitionChargesAR;770
2012/12/06;FE1;305;k01_repartitionChargesAR;928
2012/12/06;FE2;7990;k01_repartitionChargesAR;1198
2012/12/06;FE4;869;k01_repartitionChargesAR;1428
2012/12/07;FE3;21585;k01_repartitionChargesAR;71
2012/12/07;FE1;9639;k01_repartitionChargesAR;86
2012/12/07;FE4;14387;k01_repartitionChargesAR;90
2012/12/07;FE2;14420;k01_repartitionChargesAR;136
2012/12/08;FE2;25983;k01_repartitionChargesAR;87
2012/12/08;FE4;207;k01_repartitionChargesAR;109
2012/12/08;FE1;4085;k01_repartitionChargesAR;57
2012/12/08;FE3;25662;k01_repartitionChargesAR;43
2012/12/10;FE2;22972;k01_repartitionChargesAR;839
2012/12/10;FE3;5010;k01_repartitionChargesAR;859
2012/12/11;FE1;23705;k01_repartitionChargesAR;1388
2012/12/11;FE4;16459;k01_repartitionChargesAR;1624
2012/12/12;FE2;4141;k01_repartitionChargesAR;0
2012/12/12;FE4;7536;k01_repartitionChargesAR;2
2012/12/12;FE3;9363;k01_repartitionChargesAR;0
2012/12/12;FE1;10140;k01_repartitionChargesAR;9
2012/12/12;FE4;27095;k01_repartitionChargesAR;1
2012/12/12;FE1;28159;k01_repartitionChargesAR;0
2012/12/12;FE2;28557;k01_repartitionChargesAR;0
2012/12/12;FE3;28798;k01_repartitionChargesAR;0
2012/12/14;FE1;12792;k01_repartitionChargesAR;0
2012/12/14;FE3;16813;k01_repartitionChargesAR;0
2012/12/14;FE2;16797;k01_repartitionChargesAR;0
2012/12/14;FE4;16832;k01_repartitionChargesAR;6
2012/12/15;FE3;18154;k01_repartitionChargesAR;0
2012/12/15;FE4;18285;k01_repartitionChargesAR;1
2012/12/15;FE2;17818;k01_repartitionChargesAR;1
2012/12/15;FE1;17055;k01_repartitionChargesAR;1
2012/12/18;FE3;23191;k01_repartitionChargesAR;0
2012/12/18;FE1;23219;k01_repartitionChargesAR;0
2012/12/18;FE2;27995;k01_repartitionChargesAR;0
2012/12/18;FE4;17074;k01_repartitionChargesAR;1
2012/12/19;FE4;20115;k01_repartitionChargesAR;2
2012/12/19;FE3;23714;k01_repartitionChargesAR;0
2012/12/19;FE2;24127;k01_repartitionChargesAR;2
2012/12/19;FE1;28377;k01_repartitionChargesAR;0
2012/12/19;FE3;21161;k01_repartitionChargesAR;0
2012/12/19;FE4;21146;k01_repartitionChargesAR;1
2012/12/19;FE2;21495;k01_repartitionChargesAR;0
2012/12/19;FE1;21577;k01_repartitionChargesAR;0
2012/12/20;FE1;20517;k01_repartitionChargesAR;0
2012/12/20;FE3;21066;k01_repartitionChargesAR;0
2012/12/20;FE2;21828;k01_repartitionChargesAR;0
2012/12/20;FE4;23112;k01_repartitionChargesAR;2
2012/12/22;FE4;9475;k01_repartitionChargesAR;1
2012/12/22;FE1;10027;k01_repartitionChargesAR;0
2012/12/22;FE2;10522;k01_repartitionChargesAR;0
2012/12/22;FE3;10562;k01_repartitionChargesAR;0
2012/12/27;FE1;2662;k01_repartitionChargesAR;0
2012/12/27;FE3;2934;k01_repartitionChargesAR;0
2012/12/27;FE4;2954;k01_repartitionChargesAR;1
2012/12/27;FE2;4045;k01_repartitionChargesAR;0
2012/12/27;FE1;28156;k01_repartitionChargesAR;0
2012/12/27;FE3;29667;k01_repartitionChargesAR;0
2012/12/27;FE2;390;k01_repartitionChargesAR;0
2012/12/27;FE4;722;k01_repartitionChargesAR;1
2012/12/29;FE1;2065;k01_repartitionChargesAR;0
2012/12/29;FE2;2969;k01_repartitionChargesAR;0
2012/12/29;FE3;3366;k01_repartitionChargesAR;0
2012/12/29;FE4;5892;k01_repartitionChargesAR;1
2012/12/31;FE5;590;k01_repartitionChargesAR;0
2012/12/31;FE8;668;k01_repartitionChargesAR;0
2012/12/31;FE6;614;k01_repartitionChargesAR;0
2012/12/31;FE7;643;k01_repartitionChargesAR;0
2013/01/02;FE6;21593;k01_repartitionChargesAR;0
2013/01/02;FE8;21936;k01_repartitionChargesAR;0
2013/01/02;FE5;22192;k01_repartitionChargesAR;0
2013/01/02;FE7;23766;k01_repartitionChargesAR;0
2013/01/04;FE7;21717;k01_repartitionChargesAR;0
2013/01/04;FE8;514;k01_repartitionChargesAR;2
2013/01/04;FE6;20438;k01_repartitionChargesAR;3
2013/01/04;FE5;6511;k01_repartitionChargesAR;1
2013/01/05;FE6;26968;k01_repartitionChargesAR;1806
2013/01/05;FE5;2352;k01_repartitionChargesAR;880
2013/01/05;FE7;22872;k01_repartitionChargesAR;1155
2013/01/05;FE8;3196;k01_repartitionChargesAR;1181
2013/01/07;FE5;7992;k01_repartitionChargesAR;268
